"section","field","value","link","notes"
"section-70000000-0000-4000-8000-000000000008","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000008","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000008","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000008","Focal X","","",""
"section-70000000-0000-4000-8000-000000000008","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000008","Theme","light","",""
"section-70000000-0000-4000-8000-000000000008","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000008","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000008","Data Source","content","",""
"section-70000000-0000-4000-8000-000000000009","Section ID","70000000-0000-4000-8000-000000000009","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000009","Page","advisory-boards","",""
"section-70000000-0000-4000-8000-000000000009","Section Type","hero","",""
"section-70000000-0000-4000-8000-000000000009","Status","Published","",""
"section-70000000-0000-4000-8000-000000000009","Display Order","10","",""
"section-70000000-0000-4000-8000-000000000009","Eyebrow","A little collective wisdom","",""
"section-70000000-0000-4000-8000-000000000009","Title","Monthly advisory boards.","",""
"section-70000000-0000-4000-8000-000000000009","Body","Bring the decision you are working through. Think it through with the room.","",""
"section-70000000-0000-4000-8000-000000000009","Image","/images/advisory-boards-hero.webp","",""
"section-70000000-0000-4000-8000-000000000009","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000009","Image Alt","Amanda speaking during a thoughtful panel conversation","",""
"section-70000000-0000-4000-8000-000000000009","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000009","Focal X","","",""
"section-70000000-0000-4000-8000-000000000009","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000009","Theme","light","",""
"section-70000000-0000-4000-8000-000000000009","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000009","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000009","Data Source","","",""
"section-70000000-0000-4000-8000-000000000010","Section ID","70000000-0000-4000-8000-000000000010","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000010","Page","advisory-boards","",""
"section-70000000-0000-4000-8000-000000000010","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000010","Status","Published","",""
"section-70000000-0000-4000-8000-000000000010","Display Order","20","",""
"section-70000000-0000-4000-8000-000000000010","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000010","Title","","",""
"section-70000000-0000-4000-8000-000000000010","Body","","",""
"section-70000000-0000-4000-8000-000000000010","Image","","",""
"section-70000000-0000-4000-8000-000000000010","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000010","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000010","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000010","Focal X","","",""
"section-70000000-0000-4000-8000-000000000010","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000010","Theme","light","",""
"section-70000000-0000-4000-8000-000000000010","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000010","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000010","Data Source","content","",""
"section-70000000-0000-4000-8000-000000000011","Section ID","70000000-0000-4000-8000-000000000011","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000011","Page","community","",""
"section-70000000-0000-4000-8000-000000000011","Section Type","hero","",""
"section-70000000-0000-4000-8000-000000000011","Status","Published","",""
"section-70000000-0000-4000-8000-000000000011","Display Order","10","",""
"section-70000000-0000-4000-8000-000000000011","Eyebrow","Private community","",""
"section-70000000-0000-4000-8000-000000000011","Title","Confidential discussions.","",""
"section-70000000-0000-4000-8000-000000000011","Body","Keep what is shared here in the room. Be thoughtful, respectful, and generous with one another.","",""
"section-70000000-0000-4000-8000-000000000011","Image","/images/discussions-hero.webp","",""
"section-70000000-0000-4000-8000-000000000011","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000011","Image Alt","Guests engaged in conversation around a shared table","",""
"section-70000000-0000-4000-8000-000000000011","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000011","Focal X","","",""
"section-70000000-0000-4000-8000-000000000011","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000011","Theme","light","",""
"section-70000000-0000-4000-8000-000000000011","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000011","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000011","Data Source","","",""
"section-70000000-0000-4000-8000-000000000012","Section ID","70000000-0000-4000-8000-000000000012","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000012","Page","community","",""
"section-70000000-0000-4000-8000-000000000012","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000012","Status","Published","",""
"section-70000000-0000-4000-8000-000000000012","Display Order","20","",""
"section-70000000-0000-4000-8000-000000000012","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000012","Title","","",""
"section-70000000-0000-4000-8000-000000000012","Body","","",""
"section-70000000-0000-4000-8000-000000000012","Image","","",""
"section-70000000-0000-4000-8000-000000000012","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000012","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000012","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000012","Focal X","","",""
"section-70000000-0000-4000-8000-000000000012","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000012","Theme","light","",""
"section-70000000-0000-4000-8000-000000000012","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000012","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000012","Data Source","content","",""
"section-70000000-0000-4000-8000-000000000013","Section ID","70000000-0000-4000-8000-000000000013","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000013","Page","dinners","",""
"section-70000000-0000-4000-8000-000000000013","Section Type","hero","",""
"section-70000000-0000-4000-8000-000000000013","Status","Published","",""
"section-70000000-0000-4000-8000-000000000013","Display Order","10","",""
"section-70000000-0000-4000-8000-000000000013","Eyebrow","Invitation-only dinners","",""
"section-70000000-0000-4000-8000-000000000013","Title","A seat at the table.","",""
"section-70000000-0000-4000-8000-000000000013","Body","Your personal invitations and the details for each gathering.","",""
"section-70000000-0000-4000-8000-000000000013","Image","/images/dinners-hero.webp","",""
"section-70000000-0000-4000-8000-000000000013","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000013","Image Alt","Guests gathered around a Blind Dinner table","",""
"section-70000000-0000-4000-8000-000000000013","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000013","Focal X","","",""
"section-70000000-0000-4000-8000-000000000013","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000013","Theme","light","",""
"section-70000000-0000-4000-8000-000000000013","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000013","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000013","Data Source","","",""
"section-70000000-0000-4000-8000-000000000014","Section ID","70000000-0000-4000-8000-000000000014","","Permanent ID; do not change."
"section-70000000-0000-4000-8000-000000000014","Page","dinners","",""
"section-70000000-0000-4000-8000-000000000014","Section Type","existing","",""
"section-70000000-0000-4000-8000-000000000014","Status","Published","",""
"section-70000000-0000-4000-8000-000000000014","Display Order","20","",""
"section-70000000-0000-4000-8000-000000000014","Eyebrow","","",""
"section-70000000-0000-4000-8000-000000000014","Title","","",""
"section-70000000-0000-4000-8000-000000000014","Body","","",""
"section-70000000-0000-4000-8000-000000000014","Image","","",""
"section-70000000-0000-4000-8000-000000000014","Image Asset ID","","",""
"section-70000000-0000-4000-8000-000000000014","Image Alt","","",""
"section-70000000-0000-4000-8000-000000000014","Image Position","right","",""
"section-70000000-0000-4000-8000-000000000014","Focal X","","",""
"section-70000000-0000-4000-8000-000000000014","Focal Y","","",""
"section-70000000-0000-4000-8000-000000000014","Theme","light","",""
"section-70000000-0000-4000-8000-000000000014","CTA Label","","",""
"section-70000000-0000-4000-8000-000000000014","CTA Link","","",""
"section-70000000-0000-4000-8000-000000000014","Data Source","content","",""
